"day","mod","dod","deaths","temp_min","temp_max","temp_mean","humidity","wind","NO","NO2","NOX","O3","CO","SO2","PM10","PM25"
2008-08-26,8,26,268,13.4,23,16.9583333333333,76.4583333333333,1.14583333333333,0.03475,0.0402916666666667,0.0749166666666667,NA,NA,NA,NA,NA
2008-08-27,8,27,265,12.5,23.9,16.9708333333333,72.25,1.1625,0.0366666666666667,0.0323333333333333,0.0689583333333333,NA,NA,0.000333333333333333,51,51
2008-08-28,8,28,222,14.5,23.4,17.875,69.6666666666667,1.77083333333333,NA,NA,NA,0.0102083333333333,1.07916666666667,0.004125,NA,NA
2008-08-29,8,29,262,12.9,21.4,16.9916666666667,70.125,1.87083333333333,0.0296666666666667,0.0212916666666667,0.050875,0.0109583333333333,1.25,NA,NA,NA
2008-08-30,8,30,243,13.5,23.4,17.025,77.0416666666667,1.7625,0.0129583333333333,0.0175416666666667,0.03025,0.0139166666666667,0.845833333333333,NA,24.375,24.375
2008-08-31,8,31,236,13,24.7,17.7125,67.9166666666667,1.7,0.00979166666666667,0.0125,0.0222916666666667,0.0262083333333333,0.479166666666667,NA,NA,NA
2008-09-01,9,1,250,15.5,24.9,18.8666666666667,66.5833333333333,1.6375,0.0159583333333333,0.0228333333333333,0.03875,0.0215833333333333,0.866666666666667,NA,36.5,36.5
2008-09-02,9,2,246,16.1,25.4,19.4625,65.9583333333333,1.6375,0.0210833333333333,0.022875,0.0439166666666667,0.014625,1.06666666666667,0.0114583333333333,NA,NA
2008-09-03,9,3,252,14.4,25,18.4708333333333,68.375,1.59166666666667,NA,NA,NA,0.0200416666666667,0.85,0.00895833333333333,42.125,42.125
2008-09-04,9,4,272,14.9,24.6,18.0684210526316,NA,2.57894736842105,0.009875,0.0187083333333333,0.0285416666666667,NA,NA,0.002875,NA,NA
2008-09-05,9,5,239,13.7,22.8,17.5458333333333,67.1666666666667,1.94583333333333,0.0140416666666667,0.0194166666666667,0.0335,0.0175833333333333,0.720833333333333,0.002,NA,NA
2008-09-06,9,6,264,13.2,22.5,16.9583333333333,66.9166666666667,2.19166666666667,0.0104166666666667,0.0152083333333333,0.0256666666666667,NA,NA,0.000208333333333333,NA,NA
2008-09-07,9,7,228,14,17.7,15.6208333333333,79.6666666666667,1.83809523809524,0.00895833333333333,0.0125833333333333,0.021375,0.00704166666666667,0.470833333333333,0,NA,NA
2008-09-08,9,8,246,14.3,21.7,16.8083333333333,79.9166666666667,1.05238095238095,NA,NA,NA,0.0128333333333333,1.38333333333333,0.00204166666666667,30.9583333333333,30.9583333333333
2008-09-09,9,9,249,15,21.5,17.0416666666667,83.0416666666667,0.916666666666667,NA,NA,NA,0.00779166666666667,2.05833333333333,0.0045,NA,NA
2008-09-10,9,10,265,15.4,23.1,18.5541666666667,75.0416666666667,1.175,0.03225,0.0365833333333333,0.0687916666666667,NA,NA,0.00483333333333333,NA,NA
2008-09-11,9,11,278,14.1,25.7,19.3291666666667,66.9583333333333,1.19583333333333,0.0253333333333333,0.0250833333333333,0.0502916666666667,0.0278333333333333,1.17916666666667,NA,NA,NA
2008-09-12,9,12,269,15,26,19.7083333333333,68.625,1.05238095238095,NA,NA,NA,0.0287916666666667,1.4,0.00225,NA,NA
2008-09-13,9,13,243,15.7,24.8,18.7083333333333,70.9583333333333,1.39583333333333,NA,NA,NA,0.0194166666666667,1.25416666666667,NA,NA,NA
2008-09-14,9,14,233,14.3,19.5,16.6208333333333,73.9583333333333,1.0625,0.0104166666666667,0.0245833333333333,0.0349583333333333,NA,NA,0.00329166666666667,NA,NA
2008-09-15,9,15,269,13.6,20.4,15.525,82.7916666666667,1.17916666666667,0.0144166666666667,0.024,0.0382916666666667,NA,NA,0.000125,23.4583333333333,23.4583333333333
2008-09-16,9,16,274,13.2,18.9,15.975,79,1.84166666666667,0.0115416666666667,0.0131666666666667,0.0245833333333333,0.011125,0.541666666666667,0,NA,NA
2008-09-17,9,17,284,13.1,20.8,16.6291666666667,70.625,2.24166666666667,NA,NA,NA,0.014375,0.645833333333333,NA,NA,NA
2008-09-18,9,18,258,14.1,19.8,16.375,73,2.07916666666667,0.0138333333333333,0.0185,0.0322916666666667,NA,NA,0.00204166666666667,24.9583333333333,24.9583333333333
2008-09-19,9,19,239,13.8,22.5,16.6666666666667,72.3333333333333,1.93333333333333,0.0185,0.019625,0.0379583333333333,NA,NA,NA,NA,NA
2008-09-20,9,20,274,13.8,21,16.825,70.4583333333333,2.2875,0.013125,0.0175416666666667,0.03075,0.0165833333333333,0.5,0.000958333333333333,NA,NA
2008-09-21,9,21,256,14.2,18.3,15.7583333333333,77.875,2.4125,NA,NA,NA,0.0101666666666667,0.420833333333333,0.00025,NA,NA
2008-09-22,9,22,272,14,21.3,16.7833333333333,77.8333333333333,1.85833333333333,0.014,0.0147083333333333,0.0285416666666667,NA,NA,0.000333333333333333,NA,NA
2008-09-23,9,23,276,15,22.1,17.7833333333333,70.625,2.20416666666667,0.0113333333333333,0.012875,0.0240416666666667,0.00929166666666667,0.8875,0.000375,NA,NA
2008-09-24,9,24,290,14.5,20.6,17.1041666666667,74.2083333333333,2.52380952380952,NA,NA,NA,0.00804166666666667,0.929166666666667,4.16666666666667e-05,NA,NA
2008-09-25,9,25,272,13.1,18.7,15.2833333333333,83.1666666666667,2.17083333333333,0.0143333333333333,0.0158333333333333,0.0302916666666667,0.00679166666666667,1.09583333333333,0,NA,NA
2008-09-26,9,26,272,11.5,18.4,14.6208333333333,74,1.92916666666667,0.0110416666666667,0.0212916666666667,0.0322916666666667,0.0159166666666667,0.95,4.16666666666667e-05,NA,NA
2008-09-27,9,27,295,11.4,19.6,14.8708333333333,75.9583333333333,1.625,0.0179166666666667,0.033625,0.051125,0.015375,1.62916666666667,0.00954166666666667,63.5,63.5
2008-09-28,9,28,284,12.1,22.6,16.3833333333333,63.2083333333333,2.09166666666667,0.00779166666666667,0.0172083333333333,0.0249583333333333,0.028625,0.791666666666667,0.0157083333333333,43.5833333333333,43.5833333333333
2008-09-29,9,29,256,10.5,22.4,15.2,59.2083333333333,2.1125,NA,NA,NA,NA,NA,0.0116666666666667,56.3333333333333,56.3333333333333
2008-09-30,9,30,276,9.7,21.5,14.85,55.9166666666667,2.30833333333333,NA,NA,NA,NA,1.06666666666667,0.00433333333333333,50.875,50.875
2008-10-01,10,1,270,8.3,22.2,14.4166666666667,54.3333333333333,2.16666666666667,0.01725,0.03025,0.0475,NA,1.025,0.0144166666666667,52.7083333333333,52.7083333333333
2008-10-02,10,2,264,11,21.8,15.6166666666667,52.25,2.24166666666667,0.0108333333333333,0.0266666666666667,0.037375,0.0348333333333333,0.920833333333333,0.000416666666666667,NA,NA
2008-10-03,10,3,276,9.9,22.3,15.6041666666667,55.125,1.81666666666667,0.0224166666666667,0.031125,0.0535416666666667,0.0282083333333333,1.35416666666667,0.017,57,57
2008-10-04,10,4,278,12,22.8,16.3708333333333,63.125,1.44583333333333,0.014625,0.0305416666666667,0.0450833333333333,0.0264583333333333,1.19166666666667,NA,56.6666666666667,56.6666666666667
2008-10-05,10,5,274,13.9,22.4,17.4125,68.4583333333333,1.4625,0.00766666666666667,0.0212916666666667,0.0289166666666667,NA,NA,NA,NA,NA
2008-10-06,10,6,308,12.4,24.5,17.425,64.875,1.1625,0.0295833333333333,0.033625,0.063125,NA,NA,NA,44.25,44.25
2008-10-07,10,7,263,12.9,21.4,16.5666666666667,73.3333333333333,2.09047619047619,0.0169583333333333,0.0184166666666667,0.03525,0.00929166666666667,1.125,0.00791666666666667,30.5416666666667,30.5416666666667
2008-10-08,10,8,268,13.7,20.6,16.3958333333333,77.5833333333333,2.64583333333333,0.0158333333333333,0.01875,0.0345,NA,NA,0.00025,NA,NA
2008-10-09,10,9,251,14,23.5,18.0416666666667,64.9583333333333,2.05416666666667,0.0190416666666667,0.019875,0.038875,NA,1.20833333333333,0.000208333333333333,NA,NA
2008-10-10,10,10,249,13.3,23,17.7083333333333,66.5416666666667,1.61666666666667,0.0184166666666667,0.0321666666666667,0.05025,0.0135833333333333,1.9625,0.0185833333333333,51.2916666666667,51.2916666666667
2008-10-11,10,11,265,14.7,23.7,18.675,65.875,1.7375,0.0197916666666667,0.0237083333333333,0.043375,0.00983333333333333,1.675,0.0212916666666667,46.6666666666667,46.6666666666667
2008-10-12,10,12,268,14.7,24.3,17.9208333333333,71.4166666666667,1.61666666666667,0.0185833333333333,0.0217083333333333,0.0402916666666667,0.0176666666666667,1.44166666666667,0.004875,NA,NA
2008-10-13,10,13,275,13.9,23.1,17.6625,61.9583333333333,2.50833333333333,0.0132916666666667,0.0170416666666667,0.03025,0.0107916666666667,1.20833333333333,0.000125,NA,NA
2008-10-14,10,14,250,11,22,15.825,58.3333333333333,1.7,0.0135,0.0210416666666667,0.0345833333333333,0.0196666666666667,1.28333333333333,5e-04,NA,NA
2008-10-15,10,15,254,12.3,23.8,16.4619047619048,NA,1.87142857142857,0.01575,0.0259583333333333,0.0414583333333333,0.020375,1.52083333333333,NA,41.875,41.875
2008-10-16,10,16,255,14,20,16.5333333333333,68.4583333333333,2.42916666666667,NA,NA,NA,NA,NA,0.000208333333333333,23.125,23.125
2008-10-17,10,17,267,13.7,17.4,15.3041666666667,75.5833333333333,2.22916666666667,0.0185833333333333,0.0239166666666667,0.0425,0.00695833333333333,1.22083333333333,4.16666666666667e-05,NA,NA
2008-10-18,10,18,293,12.8,16.5,14.2708333333333,78,2.11666666666667,0.0162083333333333,0.0253333333333333,0.0415,0.00766666666666667,1.19166666666667,NA,NA,NA
2008-10-19,10,19,259,11.7,17.1,14.0708333333333,74.875,2.33333333333333,0.00758333333333333,0.0199583333333333,0.0274166666666667,0.0105833333333333,0.9375,0,17.9166666666667,17.9166666666667
2008-10-20,10,20,289,11.6,21.5,15.6875,65.75,2.175,NA,NA,NA,0.0125833333333333,1.19583333333333,0.00258333333333333,NA,NA
2008-10-21,10,21,276,9.5,23.2,15.9625,52.7083333333333,1.25238095238095,0.03225,0.0424166666666667,0.0746666666666667,0.0239166666666667,1.7125,NA,46.4583333333333,46.4583333333333
2008-10-22,10,22,273,9.6,23.9,16.3166666666667,43.75,1.3,0.05,0.0492083333333333,0.0990833333333333,0.020375,1.975,NA,NA,NA
2008-10-23,10,23,285,10,22.8,16.1333333333333,39.125,1.5875,0.0287916666666667,0.035125,0.063875,0.020625,1.62083333333333,0.0025,NA,NA
2008-10-24,10,24,293,12.1,23.4,16.6208333333333,52.4583333333333,1.67083333333333,0.0304583333333333,0.035375,0.0654166666666667,0.0168333333333333,1.54583333333333,0.0187083333333333,65.6666666666667,65.6666666666667
2008-10-25,10,25,310,10,24.2,16.725,38.2083333333333,1.47916666666667,0.034375,0.0370416666666667,0.07125,0.02025,1.625,0.00954166666666667,53.0416666666667,53.0416666666667
2008-10-26,10,26,311,9.2,24.6,16.3541666666667,41.4166666666667,1.70952380952381,0.0162083333333333,0.0309166666666667,0.0471666666666667,0.026,1.4125,0.0190416666666667,48.2916666666667,48.2916666666667
