"text","created","longitude","latitude","tag"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:56:43,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:55:34,NA,NA,"#PorteOuverte"
"Solidariedade √† Fran√ßa!!! Em apoio e tocada emocionalmente pelo #porteouverte Ì†ºÌ∑´Ì†ºÌ∑∑‚ù§Ô∏èÌ†ΩÌ≤ô @ Tour Eiffel https://t.co/87WDWjI3D4",2015-11-14 00:55:25,2.29811714,48.8590256,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:54:38,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:54:24,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:54:21,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:53:57,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:53:53,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:53:33,NA,NA,"#PorteOuverte"
"Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:52:53,2.38116141,48.87559538,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:43:36,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:41:23,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #FRAALL
5. Palestine

2015/11/14 01:32 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 00:40:31,2.3412,48.8569,"#PorteOuverte"
"Par√≠s se apaga y llora a sus v√≠ctimas.. #jesuisparis #Par√≠s #PorteOuverte @ Paris, France https://t.co/Rd8MSB4nX5",2015-11-14 00:39:15,2.3508,48.8567,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:38:46,NA,NA,"#PorteOuverte"
"RT @DJamesBouin: https://t.co/p8trmlIV9C #PrayForParis #fusillade #PorteOuverte #FRAALL Vendredi 13 @ Paris, France https://t.co/44UFRlGkwX",2015-11-14 00:36:17,NA,NA,"#PorteOuverte"
"https://t.co/p8trmlIV9C #PrayForParis #fusillade #PorteOuverte #FRAALL Vendredi 13 @ Paris, France https://t.co/44UFRlGkwX",2015-11-14 00:35:01,2.3508,48.8567,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:34:45,NA,NA,"#PorteOuverte"
"RT @alessiarmenise: Dans le 15eme √ßa va peut √™tre pas servir mais ma #PorteOuverte",2015-11-14 00:32:31,NA,NA,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:29:45,NA,NA,"#PorteOuverte"
"#porteouverte @ Paris, France https://t.co/LFK6VzrB79",2015-11-14 00:29:23,2.3508,48.8567,"#PorteOuverte"
"RT @alessiarmenise: Dans le 15eme √ßa va peut √™tre pas servir mais ma #PorteOuverte",2015-11-14 00:29:02,NA,NA,"#PorteOuverte"
"Dans le 15eme √ßa va peut √™tre pas servir mais ma #PorteOuverte",2015-11-14 00:26:25,2.2895406,48.8371945,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:24:49,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:24:37,NA,NA,"#PorteOuverte"
"One world, One Universe, One Race. #porteouverte #prayforparis @ Paris, France https://t.co/7X32rlAvjW",2015-11-14 00:21:53,2.3508,48.8567,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:21:08,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #FRAALL
5. Palestine

2015/11/14 01:12 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 00:20:37,2.3412,48.8569,"#PorteOuverte"
"""Nous sommes Paris"" Ì†ΩÌ∏îÌ†ΩÌπèÌ†ºÌøΩÌ†ºÌ∑´Ì†ºÌ∑∑ Ì†ΩÌ≤î#PorteOuverte #PrayForPar√≠s #JeSuisParis @ Paris, √éle-de-France, France https://t.co/NiE2Lr70e3",2015-11-14 00:17:40,2.3508,48.8567,"#PorteOuverte"
"#PrayForParis #Ì†ºÌ∑´Ì†ºÌ∑∑
 #Paris #France #French #porteouverte #pray #prayer #Parisian #europe #european‚Ä¶ https://t.co/hRMpxpknqu",2015-11-14 00:16:21,2.3508,48.8567,"#PorteOuverte"
"#PrayForParis in any God #porteouverte #Paris @ Paris, France https://t.co/wTLInKwNRC",2015-11-14 00:15:57,2.3508,48.8567,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:15:55,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:15:31,NA,NA,"#PorteOuverte"
"Thinking of everyone in Paris. Ì†ΩÌπè 
#PrayForParis #PorteOuverte #thinking #paris #France #heartbreking‚Ä¶ https://t.co/v9IuUjWi1f",2015-11-14 00:15:01,2.3508,48.8567,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:14:12,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:14:04,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:13:52,NA,NA,"#PorteOuverte"
"RT @ACoulombeau: Ligne 5 ferm√©e. Si vous deviez partir de Place d'Italie =&gt; #PorteOuverte",2015-11-14 00:12:42,NA,NA,"#PorteOuverte"
"RT @ACoulombeau: Ligne 5 ferm√©e. Si vous deviez partir de Place d'Italie =&gt; #PorteOuverte",2015-11-14 00:12:41,NA,NA,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 00:11:37,NA,NA,"#PorteOuverte"
